player_id,player_name,season,team_id,gp,mp_pg,pts_pg,reb_pg,ast_pg,stl_pg,blk_pg,tov_pg
1,Michael Jordan,1988,CHI,82,40.4,35.0,5.5,5.9,3.2,1.6,3.1
2,LeBron James,2009,CLE,81,37.7,28.4,7.6,7.2,1.7,1.1,3.0
3,Wilt Chamberlain,1962,PHW,80,48.5,50.4,25.7,2.4,,,
4,Magic Johnson,1987,LAL,80,36.3,23.9,6.3,12.2,1.7,0.4,3.5
5,Nikola Jokic,2022,DEN,74,33.5,27.1,13.8,7.9,1.5,0.9,3.8
